name,team_id,points_per_game,rebounds_per_game,assists_per_game,image_url
Shai Gilgeous-Alexander,1,32.7,5,6.4,https://cdn.nba.com/headshots/nba/latest/1040x760/1628983.png
Giannis Antetokounmpo,2,30.4,11.9,6.5,https://cdn.nba.com/headshots/nba/latest/1040x760/203507.png
Nikola Jokic,3,29.6,12.7,10.2,https://cdn.nba.com/headshots/nba/latest/1040x760/203999.png
Luka Doncic,4,28.2,8.1,7.5,https://cdn.nba.com/headshots/nba/latest/1040x760/1629029.png
Anthony Edwards,6,27.6,5.7,4.5,https://cdn.nba.com/headshots/nba/latest/1040x760/1630162.png
Jayson Tatum,7,26.8,8.7,6,https://cdn.nba.com/headshots/nba/latest/1040x760/1628369.png
Kevin Durant,8,26.6,6,4.2,https://cdn.nba.com/headshots/nba/latest/1040x760/201142.png
Tyrese Maxey,9,26.3,3.3,6.1,https://cdn.nba.com/headshots/nba/latest/1040x760/1630178.png
Cade Cunningham,10,26.1,6.1,9.1,https://cdn.nba.com/headshots/nba/latest/1040x760/1630595.png
Jalen Brunson,11,26,2.9,7.3,https://cdn.nba.com/headshots/nba/latest/1040x760/1628973.png
Paolo Banchero,12,25.9,7.5,4.8,https://cdn.nba.com/headshots/nba/latest/1040x760/1631094.png
Anthony Davis,4,25.7,11.9,3.4,https://cdn.nba.com/headshots/nba/latest/1040x760/203076.png
Devin Booker,8,25.6,4.1,7.1,https://cdn.nba.com/headshots/nba/latest/1040x760/1626164.png
LaMelo Ball,13,25.2,4.9,7.4,https://cdn.nba.com/headshots/nba/latest/1040x760/1630163.png
De'Aaron Fox,14,25,5,6.1,https://cdn.nba.com/headshots/nba/latest/1040x760/1628368.png
Damian Lillard,2,24.9,4.7,7.1,https://cdn.nba.com/headshots/nba/latest/1040x760/203081.png
Kyrie Irving,5,24.7,4.8,4.6,https://cdn.nba.com/headshots/nba/latest/1040x760/202681.png
Zion Williamson,15,24.6,7.2,5.3,https://cdn.nba.com/headshots/nba/latest/1040x760/1629627.png
Stephen Curry,16,24.5,4.4,6,https://cdn.nba.com/headshots/nba/latest/1040x760/201939.png
Karl-Anthony Towns,11,24.4,12.8,3.1,https://cdn.nba.com/headshots/nba/latest/1040x760/1626157.png
LeBron James,4,24.4,7.8,8.2,https://cdn.nba.com/headshots/nba/latest/1040x760/2544.png
Victor Wembanyama,17,24.3,11,3.7,https://cdn.nba.com/headshots/nba/latest/1040x760/1641705.png
Franz Wagner,12,24.2,5.7,4.7,https://cdn.nba.com/headshots/nba/latest/1040x760/1630532.png
Trae Young,18,24.2,3.1,11.6,https://cdn.nba.com/headshots/nba/latest/1040x760/1629027.png
Cam Thomas,19,24,3.3,3.8,https://cdn.nba.com/headshots/nba/latest/1040x760/1630560.png
Donovan Mitchell,20,24,4.5,5,https://cdn.nba.com/headshots/nba/latest/1040x760/1628378.png
Zach LaVine,21,24,4.8,4.5,https://cdn.nba.com/headshots/nba/latest/1040x760/203897.png
Tyler Herro,22,23.9,5.2,5.5,https://cdn.nba.com/headshots/nba/latest/1040x760/1629639.png
Joel Embiid,9,23.8,8.2,4.5,https://cdn.nba.com/headshots/nba/latest/1040x760/203954.png